"DisplayName","ObjectType","RoleDefinitionName","Scope"
"Daryl Liney","User","Owner","/subscriptions/15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a"
"Kostadin Apostolov","User","Owner","/subscriptions/15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a"
"kokopoc-mmg-landing-zones-poc-15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a","ServicePrincipal","Contributor","/subscriptions/15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a"
"kokopoc-mmg-landing-zones-poc-15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a","ServicePrincipal","Owner","/subscriptions/15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a"
"Containers/securityOperators/DefenderForContainersSecurityOperator","ServicePrincipal","Kubernetes Agentless Operator","/subscriptions/15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a"
"Containers/securityOperators/DefenderForContainersSecurityOperator","ServicePrincipal","Kubernetes Agent Operator","/subscriptions/15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a"
"StorageAccounts/securityOperators/DefenderForStorageSecurityOperator","ServicePrincipal","Defender for Storage Scanner Operator","/subscriptions/15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a"
"StorageAccounts/securityOperators/DefenderForStorageSecurityOperator","ServicePrincipal","EventGrid Contributor","/subscriptions/15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a"
"Microsoft Defender for Cloud Servers Scanner Resource Provider","ServicePrincipal","VM Scanner Operator","/subscriptions/15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a"
"CloudPosture/securityOperators/DefenderCSPMSecurityOperator","ServicePrincipal","Defender CSPM Storage Scanner Operator","/subscriptions/15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a"
"CloudPosture/securityOperators/DefenderCSPMSecurityOperator","ServicePrincipal","Kubernetes Agentless Operator","/subscriptions/15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a"
"StorageDataScanner","ServicePrincipal","Defender for Storage Data Scanner","/subscriptions/15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a"
"StorageDataScanner","ServicePrincipal","Storage Blob Data Reader","/subscriptions/15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a"
"StorageDataScanner","ServicePrincipal","Storage File Data Privileged Reader","/subscriptions/15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a"
"kokopoc-mmg-landing-zones-poc-15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/mg-mmg-production"
"role-support-ticket","Group","[MG-MMG] Reader-Support-Tickets","/providers/Microsoft.Management/managementGroups/mg-mmg-landing-zones"
"kokopoc-mmg-landing-zones-poc-15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/mg-mmg-landing-zones"
"kokopoc-mmg-landing-zones-poc-15cb0f1f-1dd0-4fca-b3d7-738c9850cb2a","ServicePrincipal","Owner","/providers/Microsoft.Management/managementGroups/mg-mmg"
"owner","Group","Owner","/providers/Microsoft.Management/managementGroups/mg-mmg"
